InicioPeriodo,FimPeriodo,InstituicaoFinanceira,TaxaJurosAoAno
2026-08-27,2026-09-02,BCO DO BRASIL S.A.,21.85
2026-08-27,2026-09-02,BCO TOYOTA DO BRASIL S.A.,21.94
2026-08-27,2026-09-02,BANCO INTER,22.13
2026-08-27,2026-09-02,BCO BRADESCO S.A.,22.79
2026-08-27,2026-09-02,BRB - CFI S/A,22.94
2026-08-27,2026-09-02,BCO RODOBENS S.A.,23.02
2026-08-27,2026-09-02,SANTANDER SCFI S.A.,24.25
2026-08-27,2026-09-02,SINOSSERRA S/A - SCFI,24.67
2026-08-27,2026-09-02,BCO BANESTES S.A.,25.13
2026-08-27,2026-09-02,BCO BRADESCO FINANC. S.A.,25.85
2026-08-27,2026-09-02,BCO C6 S.A.,26.13
2026-08-27,2026-09-02,PORTOSEG S.A. CFI,26.21
2026-08-27,2026-09-02,BCO BRASILEIRO DE CRÉDITO S.A.,26.93
2026-08-27,2026-09-02,ITAÚ UNIBANCO HOLDING S.A.,27.48
2026-08-27,2026-09-02,BCO VOTORANTIM S.A.,30.71
2026-08-27,2026-09-02,BCO HONDA S.A.,33.19
2026-08-27,2026-09-02,BCO YAMAHA MOTOR S.A.,35.26
2026-08-27,2026-09-02,BANCO PAN,39.6
2026-08-27,2026-09-02,AGORACRED S/A SCFI,40.43
2026-08-27,2026-09-02,BCO DAYCOVAL S.A,46.41
2026-08-27,2026-09-02,OMNI SA CFI,46.86
2026-08-27,2026-09-02,FINAMAX S.A. CFI,48.08
2026-08-28,2026-09-03,BMW SA CFI,10.82
2026-08-28,2026-09-03,BCO MERCEDES-BENZ S.A.,11.49
2026-08-28,2026-09-03,BCO RCI BRASIL S.A.,11.51
2026-08-28,2026-09-03,BCO STELLANTIS S.A.,12.05
2026-08-28,2026-09-03,CAIXA ECONOMICA FEDERAL,12.71
2026-08-28,2026-09-03,BCO DA AMAZONIA S.A.,13.89
2026-08-28,2026-09-03,BANCO HYUNDAI CAPITAL BRASIL,14.75
2026-08-28,2026-09-03,BCO GM S.A.,17.33
2026-08-28,2026-09-03,BANCO TRATON BRASIL S.A.,18.54
2026-08-28,2026-09-03,SCANIA BCO S.A.,19.82
2026-08-28,2026-09-03,STELLANTIS FINANCIAMENTOS CFI,20.09
2026-08-28,2026-09-03,BCO VOLVO BRASIL S.A.,20.63
2026-08-28,2026-09-03,BANCO CNH INDUSTRIAL CAPITAL S.A,20.87
2026-08-28,2026-09-03,BCO VOLKSWAGEN S.A,21.52
2026-08-28,2026-09-03,SAFRA SCFI S.A.,21.67
2026-08-28,2026-09-03,BCO TOYOTA DO BRASIL S.A.,21.95
2026-08-28,2026-09-03,BCO DO BRASIL S.A.,21.95
2026-08-28,2026-09-03,BANCO INTER,22.16
2026-08-28,2026-09-03,BCO RODOBENS S.A.,22.62
2026-08-28,2026-09-03,BCO BRADESCO S.A.,22.89
2026-08-28,2026-09-03,BRB - CFI S/A,24.2
2026-08-28,2026-09-03,SANTANDER SCFI S.A.,24.44
2026-08-28,2026-09-03,SINOSSERRA S/A - SCFI,24.9
2026-08-28,2026-09-03,BCO BANESTES S.A.,25.13
2026-08-28,2026-09-03,BCO BRADESCO FINANC. S.A.,26.11
2026-08-28,2026-09-03,BCO C6 S.A.,26.19
2026-08-28,2026-09-03,PORTOSEG S.A. CFI,26.29
2026-08-28,2026-09-03,BCO BRASILEIRO DE CRÉDITO S.A.,26.95
2026-08-28,2026-09-03,ITAÚ UNIBANCO HOLDING S.A.,27.42
2026-08-28,2026-09-03,BCO VOTORANTIM S.A.,30.89
2026-08-28,2026-09-03,BCO HONDA S.A.,33.49
2026-08-28,2026-09-03,BCO YAMAHA MOTOR S.A.,35.1
2026-08-28,2026-09-03,BANCO PAN,39.63
2026-08-28,2026-09-03,AGORACRED S/A SCFI,40.55
2026-08-28,2026-09-03,BCO DAYCOVAL S.A,46.36
2026-08-28,2026-09-03,OMNI SA CFI,46.79
2026-08-28,2026-09-03,FINAMAX S.A. CFI,48.07
